indicator_code;indicator_name;section;primary_unit
Y477010001;Выбывшие из субъектов Российской Федерации в отдельные страны;Миграция;Человек
Y477010002;Городское население субъектов Российской Федерации на 1 января;Численность населения;Тысяч человек
Y477010003;Население субъектов Российской Федерации на 1 января;Численность населения;Тысяч человек
Y477010004;Прерывание беременности (аборты);Рождаемость;
Y477010005;Прибывшие в субъекты Российской Федерации из отдельных стран;Миграция;Человек
Y477010006;Сельское население субъектов Российской Федерации на 1 января;Численность населения;Тысяч человек
Y477010007;Средний возраст населения на 1 января;Численность населения;Лет
Y477020001;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в обрабатывающих производствах, на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020002;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в организациях информации и связи, на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020003;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в организациях по водоснабжению, водоотведению, организации сбора и утилизации отходов, деятельности по ликвидации загрязнений, на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020004;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в организациях по добыче полезных ископаемых, на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020005;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в организациях по обеспечению электрической энергией, газом и паром, кондиционированию воздуха, на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020006;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в организациях по транспортировке и хранению, на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020007;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в организациях сельского, лесного хозяйства, охоты, рыболовства и рыбоводства на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020008;Женщины и мужчины, занятые на работах с вредными и (или) опасными условиями труда, в строительных организациях, на конец года;Занятость, безработица и заработная плата;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности
Y477020009;Отдельные показатели, характеризующие демографическую ситуацию;Население;
Y477020010;Распределение мигрантов человек;Население;
Y477020011;Родившиеся (без мертворожденных) и умершие человек;Население;
Y477020012;Средняя начисленная заработная плата женщин и мужчин за октябрь;Занятость, безработица и заработная плата;
Y477020013;Удельный вес работающих пенсионеров в процентах от общей численности пенсионеров соответствующего пола;Уровень благосостояния, социальное обеспечение и социальная помощь;
Y477020014;Уровень безработицы женщин и мужчин в процентах;Занятость, безработица и заработная плата;
Y477020015;Уровень участия в составе рабочей силы и уровень занятости женщин и мужчин в трудоспособном возрасте в процентах;Занятость, безработица и заработная плата;
Y477020016;Численность женщин и мужчин, замещавших государственные должности и должности государственной гражданской службы в государственных органах субъектов Российской Федерации, муниципальные должности и должности муниципальной службы в органах местного самоуправления, на конец года, в процентах от общей численности работников, замещавших государственные должности и должности государственной гражданской службы субъектов Российской Федерации, муниципальные должности и должности муниципальной службы, по соответствующему субъекту Российской Федерации;Кадры органов государственной власти;
Y477020017;Численность женщин и мужчин, замещавших государственные должности и должности государственной гражданской службы в федеральных государственных органах на 1 октября, в процентах от общей численности работников, замещавших государственные должности и должности государственной гражданской службы, по соответствующему субъекту Российской Федерации;Кадры органов государственной власти;
Y477020018;Численность женщин и мужчин, замещавших государственные должности и должности государственной гражданской службы в федеральных государственных органах, на конец года, в процентах от общей численности работников, замещавших государственные должности и должности государственной гражданской службы, по соответствующему субъекту Российской Федерации;Кадры органов государственной власти;
Y477020019;Численность женщин и мужчин, замещавших государственные должности и должности государственной гражданской службы в федеральных органах исполнительной власти, органах судебной власти и прокуратуры на 1 октября в процентах от общей численности работников, замещавших государственные должности и должности государственной гражданской службы по соответствующей ветви власти, по субъекту Российской Федерации;Кадры органов государственной власти;
Y477020020;Численность женщин и мужчин, замещавших государственные должности и должности государственной гражданской службы в федеральных органах исполнительной власти, органах судебной власти и прокуратуры, на конец года, в процентах от общей численности работников, замещавших государственные должности и должности государственной гражданской службы, по соответствующему субъекту Российской Федерации;Кадры органов государственной власти;
Y477020021;Численность женщин и мужчин, замещавших государственные должности и должности государственной гражданской службы, муниципальные должности и должности муниципальной службы на 1 октября в процентах от общей численности работников, замещавших государственные должности и должности государственной гражданской службы субъектов Российской Федерации, муниципальные должности и должности муниципальной службы, по соответствующему субъекту Российской Федерации;Кадры органов государственной власти;
Y477020022;Численность пенсионеров и средний размер назначенных пенсий на 1 января;Уровень благосостояния, социальное обеспечение и социальная помощь;
Y477030001;Благоустройство жилищного фонда;Жилищные условия населения;В процентах
Y477030002;Благоустройство жилищного фонда в городских поселениях;Жилищные условия населения;В процентах
Y477030003;Благоустройство жилищного фонда в сельской местности;Жилищные условия населения;В процентах
Y477030004;Ввод в действие водопроводных сетей;Строительство и рынок жилья;Километров
Y477030005;Ввод в действие газовых сетей;Строительство и рынок жилья;Километров
Y477030006;Ввод в действие жилых домов;Строительство и рынок жилья;Тысяч квадратных метров общей площади жилых помещений
Y477030007;Ввод в действие жилых домов на 1000 человек населения;Строительство и рынок жилья;Квадратных метров общей площади
Y477030008;Ввод в действие индивидуальных жилых домов, построенных населением за счет собственных и привлеченных средств;Строительство и рынок жилья;Тысяч квадратных метров общей площади жилых помещений
Y477030009;Ввод в действие канализационных сетей;Строительство и рынок жилья;Километров
Y477030010;Ввод в действие распределительных газопроводов;Строительство и рынок жилья;Километров
Y477030011;Ввод в действие тепловых сетей;Строительство и рынок жилья;Километров
Y477030012;Городской жилищный фонд;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030013;Городской жилищный фонд, находящийся в собственности граждан;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030014;Государственный жилищный фонд;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030015;Дорожное хозяйство городов и поселков городского типа;Жилищные условия населения;
Y477030016;Жилищный фонд;Состояние жилищного фонда;На конец года, общая площадь жилых помещений, миллионов квадратных метров
Y477030017;Жилищный фонд, находящийся в собственности граждан;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030018;Жилищный фонд, находящийся в частной собственности граждан;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030019;Задолженность по жилищным кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам;Строительство и рынок жилья;Исходя из местонахождения заемщиков, на начало года, миллионов рублей
Y477030020;Задолженность по жилищным кредитам в рублях, предоставленным кредитными организациями физическим лицам;Строительство и рынок жилья;Исходя из местонахождения заемщиков, на начало года, миллионов рублей
