section;row_count;indicator_count;year_min;year_max;pct_ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;150528;72;2001;2024;0.8034
Уровень жизни населения;132336;47;2001;2025;0.9748
Население;79273;38;2001;2024;0.9668
Наука и инновации;75744;33;2001;2024;0.9465
Финансы;73808;34;2001;2025;0.943
Субъекты малого и среднего предпринимательства — юридические лица;69984;77;2010;2023;0.6327
Здравоохранение;66912;32;2001;2024;0.9883
Образование;56544;28;2001;2024;0.9564
Цены и тарифы;52752;25;2001;2024;0.9635
Состояние здоровья населения;52128;22;2010;2024;0.9913
Торговля и услуги населению;49920;22;2001;2024;0.9762
Инвестиции в основной капитал;48576;9;2005;2024;0.861
Строительство;45888;19;2001;2024;0.8524
Труд;44832;23;2001;2024;0.9861
Культура, отдых и туризм;37728;18;2001;2024;0.9775
Основные показатели сельского хозяйства;37248;46;2015;2024;0.8309
Транспорт;35904;14;2001;2024;0.9337
Организации;35232;25;2001;2024;0.9609
Информационные и коммуникационные технологии;32736;27;2001;2024;0.9893
Предприятия и организации;29952;24;2001;2022;0.9642
Жилищные условия населения;27675;21;2015;2024;0.9808
Результаты инвестиционной деятельности;26550;13;2005;2024;0.8064
Социальная защита;26196;23;2017;2025;0.9674
Бытовые услуги;23904;24;2010;2024;0.9727
Жилищное и социально-культурное строительство;23724;18;2005;2023;0.7296
Участие в рабочей силе, занятость и безработица;23712;22;2019;2024;0.9873
Земельные ресурсы и охрана окружающей природной среды;22848;9;2001;2024;0.9839
Промышленное производство;22416;19;2001;2024;0.9803
Состояние жилищного фонда;21834;23;2015;2024;0.9765
Основные экономические показатели транспорта;20407;9;2005;2023;0.8082
Денежные доходы населения и их использование;20352;8;2017;2024;0.969
Строительные организации;20085;9;2005;2023;0.9714
Отдельные показатели деятельности предприятий и организаций промышленности по субъектам и федеральным округам российской федерации;19868;17;2017;2024;0.9533
Строительство и рынок жилья;19578;19;2015;2025;0.8876
Валовой региональный продукт;16896;8;2001;2023;0.9751
Ресурсы и деятельность организаций здравоохранения;14880;17;2010;2024;0.9646
Денежное обращение и кредит;14208;15;2013;2024;0.9842
Расходы и потребление домашних хозяйств;13632;5;2021;2024;0.993
Государственные финансы;12284;10;2018;2023;0.9594
Безработные;11712;8;2008;2023;0.967
Жилищные условия;11520;6;2017;2024;0.9864
Реализация программ в сфере жилищно-коммунального хозяйства;11394;13;2015;2024;0.9702
Дифференциация доходов и бедность;10368;9;2017;2024;0.8573
Внешняя торговля;10368;6;2001;2021;0.9729
Основные экономические показатели здравоохранения;10264;9;2010;2024;0.7801
Услуги в области туризма;10176;19;2010;2024;0.9713
Занятые;10176;7;2008;2023;0.9955
Уровень и динамика цен на потребительском рынке;10168;12;2018;2023;0.9946
Инвестиции;10080;6;2001;2024;0.9831
Основные фонды;8928;4;2001;2024;0.9789
Занятость, безработица и заработная плата;8448;11;2021;2023;0.9695
Занятость и оплата труда в здравоохранении в российской федерации;8448;8;2010;2024;0.9979
Основные экономические показатели по видам экономической деятельности;8256;15;2010;2024;0.86
Водные ресурсы;8118;11;2017;2023;0.9683
Рабочая сила;8064;5;2008;2023;0.9962
Условия труда, производственный травматизм;7676;10;2021;2024;0.9762
Уровень и динамика цен в сфере инвестиционной деятельности;7488;4;2005;2023;0.9314
Движение работников организаций, использование рабочего времени, трудовая миграция;7488;5;2021;2024;0.9905
Лесные ресурсы;7486;11;2017;2023;0.8575
Индивидуальные предприниматели;7104;8;2010;2023;0.6715
Ввод в действие зданий и производственных мощностей;7104;3;2005;2023;0.9661
Наличие объектов торговли и общественного питания;6528;9;2010;2024;0.9006
Финансы организаций;6336;6;2018;2023;0.9872
Демографическая ситуация;6240;6;2021;2023;0.9833
Население, не входящее в состав рабочей силы;6144;4;2008;2023;0.9959
Предоставление государственных услуг населению в области содействия занятости;6144;7;2019;2024;0.999
Состояние здоровья и медицинское обслуживание населения;5928;6;2017;2024;0.9885
Численность населения;5184;4;2005;2023;0.9884
Отдых, физическая культура и спорт;4992;4;2010;2024;0.9848
