section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Жилищное и социально-культурное строительство;Y477140014;Ввод в действие мощностей больничных организаций в сельской ;CD;Курганская область;Регион;37000000;37000000;2017;-77777777.0;Коек;CD;Строительство в России 2022;v20260313;hidden
Промышленное производство;Y477110120;Индексы производства по виду экономической деятельности обра;CD;Сахалинская область;Регион;64000000;64000000;2023;92.3;В процентах к предыдущему году;Данные сформированы по полному кругу орг;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Денежные доходы населения и их использование;Y477130046;Структура денежных доходов населения;Оплата труда;Псковская область;Регион;58000000;58000000;2022;53.6;В процентах от общего объема денежных доходов населения субъекта;CD;Социальное положение и уровень жизни населения России 2023;v20260313;ok
Наличие объектов торговли и общественного питания;Y477150046;Число торговых мест на розничных рынках;В том числе: универсальные;Республика Ингушетия;Регион;26000000;26000000;2024;2005.0;На 1 января, мест;CD;Торговля в России 2025;v20260313;ok
Транспорт;Y477110293;Перевозки грузов автомобильным транспортом организаций всех ;CD;Севастополь;Регион;67000000;67000000;2002;-99999999.0;Миллионов тонн;По Российской Федерации — по юридическим;Регионы России. Социально-экономические показатели 2023;v20260313;no_data
Население;Y477110196;Коэффициенты естественного прироста населения на 1000 челове;CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2005;4.5;ND;Знак (-) означает сокращение численности;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Финансы;Y477110147;Исполнение бюджета Фонда социального страхования Российской ;CD;Новгородская область;Регион;49000000;49000000;2002;488.2;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Инвестиции в основной капитал;Y477050014;Видовая структура инвестиций в основной капитал;Здания (кроме жилых) и соору-жения, расходы на улучшение земель;Удмуртская Республика;Регион;94000000;94000000;2018;31.8;В процентах от общего объема инвестиций в основной капитал;CD;Инвестиции в России 2023;v20260313;ok
Государственная поддержка субъектов малого и среднего предпринимательства;Y477060009;Крестьянские (фермерские) хозяйства, получившие грантовую по;Крестьянские (фермерские) хозяйства и индивидуальные предприниматели, получившие грант Агростартап, единиц;Камчатский край;Регион;30000000;30000000;2019;6.0;Единиц;"Данные по показателю не разрабатывались;";Малое и среднее предпринимательство в России 2022;v20260313;ok
Инвестиции в основной капитал;Y477050022;Структура инвестиций в основной капитал по видам экономическ;В том числе по видам деятельности: деятельность в области культуры, спорта, организации досуга и развлечений;Новосибирская область;Регион;50000000;50000000;2024;0.8;В процентах от общего объема инвестиций в основной капитал субъекта;Данные не публикуются в целях обеспечени;Инвестиции в России 2025;v20260313;ok
Уровень жизни населения;Y477110327;Предоставление гражданам социальной поддержки (льгот) по опл;CD;Рязанская область;Регион;61000000;61000000;2003;80.0;Рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансы;Y477110493;Число действующих филиалов кредитных организаций в субъекте;CD;Ростовская область;Регион;60000000;60000000;2022;21.0;На начало года;По данным Банка России. Число филиалов в;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Население;Y477110232;Общие коэффициенты смертности;CD;Рязанская область;Регион;61000000;61000000;2011;16.4;Число умерших на 1000 человек населения;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Транспорт;Y477110494;Число дорожно-транспортных происшествий на 100000 человек на;CD;Саратовская область;Регион;63000000;63000000;2020;121.90144666624872;ND;Данные за 2011‒2021 годы публикуются без;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Государственные финансы;Y477180018;Исполнение бюджетов Территориальных фондов обязательного мед;Расходование;Тюменская область (с автономными округами);Регион;71000000;71000000;2020;97300.944;Миллионов рублей;CD;Финансы в России 2024;v20260313;ok
